kenteken_land,voertuig_soort,merk,inrichting,datum_eerste_toelating,datum_tenaamstelling,toegestane_maximum_massa_voertuig,europese_voertuigcategorie,europese_voertuigcategorie_toevoeging,taxi_indicator,maximale_constructie_snelheid_bromsnorfiets,brandstoffen,extra_data,diesel,gasoline,electric,versit_klasse,count
796834e7a2839412d79dbc5f1327594d,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2013-01-01,,1500,f31e1eef20f64733a18c538073e78396,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""Elektriciteit""}]",,,,,c39eb698333f40e96c77c8227a256ccd,1
3a52f3c22ed6fcde5bf696a6c02c9e73,,,,,,,f31e1eef20f64733a18c538073e78396,,FALSE,,,,,,,,1
796834e7a2839412d79dbc5f1327594d,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2015-01-01,,1500,86bc43e556b1df283839f053eb02e2bb,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,4ce24b6368a29d34a39c495caadc6052,1
796834e7a2839412d79dbc5f1327594d,250e8291dda446bb0d7c4e1236f9634d,,b88add571a5d3e2abe129a6d5a49e67b,2019-01-01,,1500,9ec4c0afd450ceac7adb81c3bcfc9732,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,f2103a92ca10ac5e02288d2f7ec1baed,1
796834e7a2839412d79dbc5f1327594d,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2016-01-01,,1500,86bc43e556b1df283839f053eb02e2bb,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,3805f36c149f9f4c61348eb35ebac135,1
796834e7a2839412d79dbc5f1327594d,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2006-01-01,,1500,86bc43e556b1df283839f053eb02e2bb,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,b6ab9f5ef3e4246a9ff1a8eef4f8f4d2,1
796834e7a2839412d79dbc5f1327594d,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2017-01-01,,1500,86bc43e556b1df283839f053eb02e2bb,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,df214c6d7573c6613c0b1efff307e902,1
796834e7a2839412d79dbc5f1327594d,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,1979-01-01,,1500,f31e1eef20f64733a18c538073e78396,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,480ae2928a6a9e031cdd665364960e19,1
796834e7a2839412d79dbc5f1327594d,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2018-01-01,,1500,f31e1eef20f64733a18c538073e78396,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}, {""volgnr"": 2, ""brandstof"": ""Benzine""}]",,,,,313080aa46414e2bd9573e0c095b3be4,1
796834e7a2839412d79dbc5f1327594d,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2002-01-01,,1500,f31e1eef20f64733a18c538073e78396,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""LPG""}]",,,,,f5535a5caee41673c00a0a56a4cd4d93,1
